Abschnitt;Zeitraum;Arbeitspaket;Stunden;Einordnung
Vorarbeit;19.01.2026;Beratung;4,0;"Vorgabe/Quellenstand; keine neue Zeitmessung"
Vorarbeit;12.05.2026;Schulung;1,5;"Vorgabe/Quellenstand; keine neue Zeitmessung"
Vorarbeit;08.07.2026;Technischer Aufbau;1,5;"Vorgabe/Quellenstand; keine neue Zeitmessung"
Vorarbeit;03.08.2026;Infrastrukturarchitektur;2,5;"Vorgabe/Quellenstand; keine neue Zeitmessung"
September;15.–18.09.2026;Auswertung und Anforderungen;6,0;"Vorgabe/Quellenstand; keine neue Zeitmessung"
September;19.09.2026;Architektur und Prüfstand;4,5;"Vorgabe/Quellenstand; keine neue Zeitmessung"
September;19.–20.09.2026;Auftragspapiere und Steuerung;7,0;"Vorgabe/Quellenstand; keine neue Zeitmessung"
September;20.09.2026;Gegenprüfung und Bildabnahme;5,0;"Vorgabe/Quellenstand; keine neue Zeitmessung"
September;20.09.2026;Dokumentation und Übergabe;3,0;"Vorgabe/Quellenstand; keine neue Zeitmessung"
Schätzung;Ergänzende Zuordnung;Noch separat zu bestätigen;ca. 5,0;"Vorgabe/Quellenstand; keine neue Zeitmessung"
